question	phrase	answer
1	and a case of	beer
2	It would mean the	world
3	and make me the	happiest
4	Offense still struggling but the	defense
5	romantic date at the	beach
6	them off and be on my	way
7	seen it in quite some	time
8	eyes with his little	fingers
9	the faith during the	bad
10	then you must be	insane
11	I'd live and I'd	die
12	telling me about his	marital
13	arctic monkeys this	weekend
14	and helps reduce your	stress
15	time to take a	picture
16	to settle the	matter
17	groceries in each	hand
18	the bottom to the	top
19	bruises from playing	outside
